version,sha256,path,os_name,os_arch
3.10.6,f18b7c4cf7d53a4c5ad50c765f12c0cc863f2403553843bc639d78933f5c1bcb,pythons/3.10.6/ubuntu-22-04-arm64-f18b7c4cf7d53a4c5ad50c765f12c0cc863f2403553843bc639d78933f5c1bcb.tar,ubuntu 22.04,arm64
3.10.6,8c252529fc070a01d9996ce97efa07419ac6d354b8414170ee5c3bf0de2ae5b1,pythons/3.10.6/ubuntu-22-04-x86_64-8c252529fc070a01d9996ce97efa07419ac6d354b8414170ee5c3bf0de2ae5b1.tar,ubuntu 22.04,x86_64
3.10.6,0ebe664286107828a1548de0a4c0d6e76eee24f7152212a235ce706d49364e80,pythons/3.10.6/ubuntu-24-04-arm64-0ebe664286107828a1548de0a4c0d6e76eee24f7152212a235ce706d49364e80.tar,ubuntu 24.04,arm64
3.10.6,96c909aac962892d9cd8bc0cd0499e131e3eb2dd701923c64da7a2da30b882d4,pythons/3.10.6/ubuntu-24-04-x86_64-96c909aac962892d9cd8bc0cd0499e131e3eb2dd701923c64da7a2da30b882d4.tar,ubuntu 24.04,x86_64
3.10.7,eda7dec8102ef535c132f2ae774d930e2d84812f94b5cef1cf6498de378b96c5,pythons/3.10.7/ubuntu-22-04-arm64-eda7dec8102ef535c132f2ae774d930e2d84812f94b5cef1cf6498de378b96c5.tar,ubuntu 22.04,arm64
3.10.7,1dbc0af38301a2570f8d717aebdd5b8de8e5bff6b6d3c465f202efacf9aff345,pythons/3.10.7/ubuntu-22-04-x86_64-1dbc0af38301a2570f8d717aebdd5b8de8e5bff6b6d3c465f202efacf9aff345.tar,ubuntu 22.04,x86_64
3.10.7,7fc5067bb02b986845080ea4c08147a5fed67d143a7aefcbc42e1a2d89af0419,pythons/3.10.7/ubuntu-24-04-arm64-7fc5067bb02b986845080ea4c08147a5fed67d143a7aefcbc42e1a2d89af0419.tar,ubuntu 24.04,arm64
3.10.7,4e896de3c04d615f18b2741a1f467afb095fa7f2b6a71f1d4258a9fcb75f3451,pythons/3.10.7/ubuntu-24-04-x86_64-4e896de3c04d615f18b2741a1f467afb095fa7f2b6a71f1d4258a9fcb75f3451.tar,ubuntu 24.04,x86_64
3.10.8,f69f25f573ec7db0d84fe4b4efe2b0f6d649055e29182672969547654149e0bc,pythons/3.10.8/ubuntu-22-04-arm64-f69f25f573ec7db0d84fe4b4efe2b0f6d649055e29182672969547654149e0bc.tar,ubuntu 22.04,arm64
3.10.8,2545e605ff5c570ba1dc8e3a9f2fbd69049dda51f02cfa31e85c38852c547cad,pythons/3.10.8/ubuntu-22-04-x86_64-2545e605ff5c570ba1dc8e3a9f2fbd69049dda51f02cfa31e85c38852c547cad.tar,ubuntu 22.04,x86_64
3.10.8,46fdf50c06c85609def54577c126940c8e4263b12940a476f60552c955568bc2,pythons/3.10.8/ubuntu-24-04-arm64-46fdf50c06c85609def54577c126940c8e4263b12940a476f60552c955568bc2.tar,ubuntu 24.04,arm64
3.10.8,4bf508a1dd7d376f97bef7a3f4af92118517d98ec0601276a0af4e90d1cc8d1f,pythons/3.10.8/ubuntu-24-04-x86_64-4bf508a1dd7d376f97bef7a3f4af92118517d98ec0601276a0af4e90d1cc8d1f.tar,ubuntu 24.04,x86_64
3.10.9,559690cc78c4fa1999d8d8e96b56ecbded0317fb7a8bda2878ad8e8164717bfe,pythons/3.10.9/ubuntu-22-04-arm64-559690cc78c4fa1999d8d8e96b56ecbded0317fb7a8bda2878ad8e8164717bfe.tar,ubuntu 22.04,arm64
3.10.9,766851621fd01e3164957b7832b49bbef8392343d7798a2b1f78e5eff71e5367,pythons/3.10.9/ubuntu-22-04-x86_64-766851621fd01e3164957b7832b49bbef8392343d7798a2b1f78e5eff71e5367.tar,ubuntu 22.04,x86_64
3.10.9,6d09f631bca47a0ef97e42346eb8d53a331676e53d258b54013558e497f923b3,pythons/3.10.9/ubuntu-24-04-arm64-6d09f631bca47a0ef97e42346eb8d53a331676e53d258b54013558e497f923b3.tar,ubuntu 24.04,arm64
3.10.9,d8b3482fa6e6fc01f3786af82630c7f11596e35c1ef1ecaf4e89a218aa52431c,pythons/3.10.9/ubuntu-24-04-x86_64-d8b3482fa6e6fc01f3786af82630c7f11596e35c1ef1ecaf4e89a218aa52431c.tar,ubuntu 24.04,x86_64
3.10.10,1ca708ea005285b426a87e77744cbeb90071e90e1fb3e33f48a82f3a80ffca87,pythons/3.10.10/ubuntu-22-04-arm64-1ca708ea005285b426a87e77744cbeb90071e90e1fb3e33f48a82f3a80ffca87.tar,ubuntu 22.04,arm64
3.10.10,ff1a613ec8e4f3c0d3d3e8e3b890363b34548e31abd5087acfb8dd3fc76d1d0a,pythons/3.10.10/ubuntu-22-04-x86_64-ff1a613ec8e4f3c0d3d3e8e3b890363b34548e31abd5087acfb8dd3fc76d1d0a.tar,ubuntu 22.04,x86_64
3.10.10,34b899bc3a0deb4ea202d115399fe9d6b5b74f6f3488f72c571cfbbaa01fb2ab,pythons/3.10.10/ubuntu-24-04-arm64-34b899bc3a0deb4ea202d115399fe9d6b5b74f6f3488f72c571cfbbaa01fb2ab.tar,ubuntu 24.04,arm64
3.10.10,4de94b8ed2755de2bb28c8d8a9f77cca7561fdc45de089a6ecdaa979865703d2,pythons/3.10.10/ubuntu-24-04-x86_64-4de94b8ed2755de2bb28c8d8a9f77cca7561fdc45de089a6ecdaa979865703d2.tar,ubuntu 24.04,x86_64
3.10.11,477f498548959e07c85dd56924c2e01414ae93f4c568b018aad074b95f94e8b5,pythons/3.10.11/ubuntu-22-04-arm64-477f498548959e07c85dd56924c2e01414ae93f4c568b018aad074b95f94e8b5.tar,ubuntu 22.04,arm64
3.10.11,0b7975e27dcbbc71fd5e5422a44522ba31b84731ca00b3f2be6747b87bd15b60,pythons/3.10.11/ubuntu-22-04-x86_64-0b7975e27dcbbc71fd5e5422a44522ba31b84731ca00b3f2be6747b87bd15b60.tar,ubuntu 22.04,x86_64
3.10.11,1dffd29e68bf5319b2d5d1db8002e6fb888570a9b5f9b7e8b9766f7f9444b080,pythons/3.10.11/ubuntu-24-04-arm64-1dffd29e68bf5319b2d5d1db8002e6fb888570a9b5f9b7e8b9766f7f9444b080.tar,ubuntu 24.04,arm64
3.10.11,45800189787201757b1e8c161e7e1637e04caf7b5b2efa6d83e4a2e515ce5d0a,pythons/3.10.11/ubuntu-24-04-x86_64-45800189787201757b1e8c161e7e1637e04caf7b5b2efa6d83e4a2e515ce5d0a.tar,ubuntu 24.04,x86_64
3.10.12,fb547d522c2391bdc3c502230cfac5f99407c9981d27246be10649cf616ed48b,pythons/3.10.12/ubuntu-22-04-arm64-fb547d522c2391bdc3c502230cfac5f99407c9981d27246be10649cf616ed48b.tar,ubuntu 22.04,arm64
3.10.12,462bac5e0ee2081a8e7b0c02f99b3ec68663b321f57a14f0c30ffceae66e63ba,pythons/3.10.12/ubuntu-22-04-x86_64-462bac5e0ee2081a8e7b0c02f99b3ec68663b321f57a14f0c30ffceae66e63ba.tar,ubuntu 22.04,x86_64
3.10.12,cb9e1192705ebe7a01254a077ed787d81e28013a537b5ea459212dfceff11f95,pythons/3.10.12/ubuntu-24-04-arm64-cb9e1192705ebe7a01254a077ed787d81e28013a537b5ea459212dfceff11f95.tar,ubuntu 24.04,arm64
3.10.12,1e4bacbee4f76cc548baf6c5c4531bba6bcfcbff65b94264de017622f8187ae3,pythons/3.10.12/ubuntu-24-04-x86_64-1e4bacbee4f76cc548baf6c5c4531bba6bcfcbff65b94264de017622f8187ae3.tar,ubuntu 24.04,x86_64
3.10.13,991a2dbed659ff58899784b7c6ff12b15bc6074c9d52d0a4537aad8b17f5d1e5,pythons/3.10.13/ubuntu-22-04-arm64-991a2dbed659ff58899784b7c6ff12b15bc6074c9d52d0a4537aad8b17f5d1e5.tar,ubuntu 22.04,arm64
3.10.13,4f5be1cdd65ed91ba35dfa9dba70bd171f6d5054dd9b427ae50f22d65202bcda,pythons/3.10.13/ubuntu-22-04-x86_64-4f5be1cdd65ed91ba35dfa9dba70bd171f6d5054dd9b427ae50f22d65202bcda.tar,ubuntu 22.04,x86_64
3.10.13,49c87daf39bf2d16f4c8a804073a7b8834dae4a07ec3ffaf14b7c1dd85319cd8,pythons/3.10.13/ubuntu-24-04-arm64-49c87daf39bf2d16f4c8a804073a7b8834dae4a07ec3ffaf14b7c1dd85319cd8.tar,ubuntu 24.04,arm64
3.10.13,5868cbbc1906b9c0cabf601c07a80a44a82fc26e962c2a42376256f74703a50c,pythons/3.10.13/ubuntu-24-04-x86_64-5868cbbc1906b9c0cabf601c07a80a44a82fc26e962c2a42376256f74703a50c.tar,ubuntu 24.04,x86_64
